antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Crime_Drug Offense,Act_NDPS,0.0776,0.0776,0.0776,1.0,12.88659793814433,1.0,0.07157824,inf,1.0,1.0,1.0,1.0
Act_NDPS,Crime_Drug Offense,0.0776,0.0776,0.0776,1.0,12.88659793814433,1.0,0.07157824,inf,1.0,1.0,1.0,1.0
Crime_Cyber Fraud,Act_ITACT,0.14245,0.14245,0.14245,1.0,7.020007020007021,1.0,0.12215799749999999,inf,0.9999999999999999,1.0,1.0,1.0
Act_ITACT,Crime_Cyber Fraud,0.14245,0.14245,0.14245,1.0,7.020007020007021,1.0,0.12215799749999999,inf,0.9999999999999999,1.0,1.0,1.0
Crime_Assault,Act_IPC,0.1174,0.77995,0.1174,1.0,1.2821334700942368,1.0,0.025833869999999995,inf,0.24932019034670283,0.15052246938906338,1.0,0.5752612346945317
Act_IPC,Crime_Assault,0.77995,0.1174,0.1174,0.1505224693890634,1.2821334700942368,1.0,0.025833869999999995,1.0389915779941137,0.9999999999999999,0.15052246938906338,0.037528290719537054,0.5752612346945317
Act_IPC,Crime_Theft,0.77995,0.21365,0.21365,0.2739278158856337,1.2821334700942368,1.0,0.04701368249999999,1.0830190402613455,0.9999999999999999,0.2739278158856337,0.07665519919327742,0.6369639079428169
Crime_Domestic Violence,Act_IPC,0.092,0.77995,0.092,1.0,1.2821334700942368,1.0,0.0202446,inf,0.24234581497797358,0.11795627924866978,1.0,0.5589781396243348
Crime_Burglary,Act_IPC,0.1259,0.77995,0.1259,1.0,1.2821334700942368,1.0,0.027704295000000004,inf,0.25174465164168863,0.16142060388486443,1.0,0.5807103019424322
Act_IPC,Crime_Burglary,0.77995,0.1259,0.1259,0.16142060388486443,1.2821334700942368,1.0,0.027704295000000004,1.042358068954973,1.0000000000000002,0.16142060388486443,0.0406367736927862,0.5807103019424322
Act_IPC,Crime_Extortion,0.77995,0.0169,0.0169,0.0216680556445926,1.2821334700942368,1.0,0.0037188449999999984,1.0048736583448004,0.9999999999999998,0.0216680556445926,0.004850020999483879,0.5108340278222963
Crime_Extortion,Act_IPC,0.0169,0.77995,0.0169,1.0,1.2821334700942368,1.0,0.0037188449999999984,inf,0.22383277387854741,0.0216680556445926,1.0,0.5108340278222963
Act_IPC,Crime_Kidnapping,0.77995,0.0191,0.0191,0.02448874927879992,1.2821334700942368,1.0,0.0042029549999999995,1.0055240257606624,1.0,0.02448874927879992,0.005493678538892774,0.5122443746394
Crime_Kidnapping,Act_IPC,0.0191,0.77995,0.0191,1.0,1.2821334700942368,1.0,0.0042029549999999995,inf,0.2243347945764094,0.02448874927879992,1.0,0.5122443746394
Crime_Theft,Act_IPC,0.21365,0.77995,0.21365,1.0,1.2821334700942368,1.0,0.04701368249999999,inf,0.27983722261079663,0.2739278158856337,1.0,0.6369639079428169
Crime_Robbery,Act_IPC,0.077,0.77995,0.077,1.0,1.2821334700942368,1.0,0.016943849999999996,inf,0.23840736728060663,0.09872427719725622,1.0,0.5493621385986281
Crime_Murder,Act_IPC,0.04735,0.77995,0.04735,1.0,1.2821334700942368,1.0,0.010419367499999999,inf,0.23098724610297588,0.060709019808962116,1.0,0.5303545099044811
Act_IPC,Crime_Murder,0.77995,0.04735,0.04735,0.060709019808962116,1.2821334700942368,1.0,0.010419367499999999,1.0142224508599509,1.0,0.060709019808962116,0.01402300929928317,0.5303545099044811
Crime_Vehicle Theft,Act_IPC,0.07065,0.77995,0.07065,1.0,1.2821334700942368,1.0,0.015546532500000002,inf,0.2367783935008339,0.09058272966215783,1.0,0.5452913648310789
Act_IPC,Crime_Domestic Violence,0.77995,0.092,0.092,0.11795627924866978,1.2821334700942366,1.0,0.0202446,1.0294274293189913,1.0000000000000002,0.11795627924866978,0.0285862106262883,0.5589781396243348
Act_IPC,Crime_Robbery,0.77995,0.077,0.077,0.09872427719725622,1.2821334700942366,1.0,0.016943849999999996,1.0241039191976669,1.0,0.09872427719725622,0.023536595013278684,0.5493621385986281
Act_IPC,Crime_Vehicle Theft,0.77995,0.07065,0.07065,0.09058272966215783,1.2821334700942366,1.0,0.015546532500000002,1.0219181340758494,1.0000000000000002,0.09058272966215783,0.02144803320832606,0.5452913648310789
